Zip Code,City,County,Population
27601,Raleigh,Wake County,10525.0
28168,Vale,Lincoln County,10415.0
28721,Clyde,Haywood County,10401.0
27052,Walnut Cove,Stokes County,10383.0
28513,Ayden,Pitt County,10339.0
28457,Rocky Point,Pender County,10299.0
28754,Mars Hill,Madison County,10290.0
28138,Rockwell,Rowan County,10160.0
28340,Fairmont,Robeson County,10075.0
28207,Charlotte,Mecklenburg County,9986.0
27828,Farmville,Pitt County,9834.0
27376,West End,Moore County,9802.0
28753,Marshall,Madison County,9671.0
28166,Troutman,Iredell County,9651.0
28778,Swannanoa,Buncombe County,9584.0
27239,Denton,Davidson County,9562.0
27045,Rural Hall,Forsyth County,9552.0
28174,Wingate,Union County,9496.0
27301,Mc Leansville,Guilford County,9358.0
28466,Wallace,Duplin County,9292.0
27542,Kenly,Johnston County,9288.0
28320,Bladenboro,Bladen County,9233.0
28730,Fairview,Buncombe County,9221.0
28690,Valdese,Burke County,9189.0
27017,Dobson,Surry County,9144.0
28463,Tabor City,Columbus County,9116.0
28904,Hayesville,Clay County,8969.0
28518,Beulaville,Duplin County,8912.0
27357,Stokesdale,Guilford County,8901.0
28713,Bryson City,Swain County,8799.0
28657,Newland,Avery County,8651.0
27377,Whitsett,Guilford County,8612.0
28383,Rowland,Robeson County,8518.0
27983,Windsor,Bertie County,8502.0
27371,Troy,Montgomery County,8431.0
27048,Stoneville,Rockingham County,8423.0
27316,Ramseur,Randolph County,8369.0
28731,Flat Rock,Henderson County,8368.0
28398,Warsaw,Duplin County,8296.0
27822,Elm City,Wilson County,8225.0
27557,Middlesex,Johnston County,8205.0
27018,East Bend,Yadkin County,8204.0
28422,Bolivia,Brunswick County,8116.0
28771,Robbinsville,Graham County,8069.0
28107,Midland,Cabarrus County,8024.0
27569,Princeton,Johnston County,7993.0
27882,Spring Hope,Nash County,7972.0
28785,Waynesville,Haywood County,7953.0
27041,Pilot Mountain,Surry County,7951.0
27823,Enfield,Halifax County,7950.0
27589,Warrenton,Warren County,7938.0
27954,Manteo,Dare County,7938.0
28080,Iron Station,Lincoln County,7857.0
27325,Robbins,Moore County,7836.0
28090,Lawndale,Cleveland County,7820.0
28586,Vanceboro,Craven County,7808.0
28694,West Jefferson,Ashe County,7719.0
28127,New London,Stanly County,7704.0
27962,Plymouth,Washington County,7696.0
28719,Cherokee,Swain County,7674.0
27949,Kitty Hawk,Dare County,7648.0
27051,Walkertown,Forsyth County,7641.0
27817,Chocowinity,Beaufort County,7614.0
28479,Winnabow,Brunswick County,7561.0
28128,Norwood,Stanly County,7519.0
28768,Pisgah Forest,Transylvania County,7504.0
28578,Seven Springs,Wayne County,7504.0
28114,Mooresboro,Cleveland County,7475.0
28040,Ellenboro,Rutherford County,7441.0
28465,Oak Island,Brunswick County,7432.0
28339,Erwin,Harnett County,7432.0
27850,Littleton,Halifax County,7410.0
27571,Rolesville,Wake County,7407.0
27258,Haw River,Alamance County,7370.0
27310,Oak Ridge,Guilford County,7253.0
28382,Roseboro,Sampson County,7252.0
28604,Banner Elk,Avery County,7227.0
28204,Charlotte,Mecklenburg County,7199.0
28445,Holly Ridge,Onslow County,7196.0
28761,Nebo,Mcdowell County,7194.0
27572,Rougemont,Durham County,7081.0
27837,Grimesland,Pitt County,7075.0
27583,Timberlake,Person County,7073.0
28310,Fort Bragg,Cumberland County,7066.0
28429,Castle Hayne,New Hanover County,7058.0
28762,Old Fort,Mcdowell County,7054.0
28431,Chadbourn,Columbus County,7027.0
28371,Parkton,Robeson County,6964.0
27505,Broadway,Lee County,6943.0
27043,Pinnacle,Stokes County,6917.0
28705,Bakersville,Mitchell County,6870.0
28572,Pink Hill,Lenoir County,6866.0
28782,Tryon,Polk County,6852.0
28651,Millers Creek,Wilkes County,6820.0
28458,Rose Hill,Duplin County,6761.0
27313,Pleasant Garden,Guilford County,6733.0
28675,Sparta,Alleghany County,6707.0
28428,Carolina Beach,New Hanover County,6611.0
27807,Bailey,Nash County,6604.0
28530,Grifton,Pitt County,6577.0
28073,Grover,Cleveland County,6541.0
28722,Columbus,Polk County,6537.0
27306,Mount Gilead,Montgomery County,6428.0
27350,Sophia,Randolph County,6412.0
27503,Bahama,Durham County,6377.0
27521,Coats,Harnett County,6366.0
28386,Shannon,Robeson County,6258.0
28135,Polkton,Anson County,6245.0
28673,Sherrills Ford,Catawba County,6221.0
27020,Hamptonville,Yadkin County,6205.0
27299,Linwood,Davidson County,6172.0
28469,Ocean Isle Beach,Brunswick County,6094.0
28097,Locust,Stanly County,6078.0
27509,Butner,Granville County,6070.0
27855,Murfreesboro,Hertford County,6066.0
27605,Raleigh,Wake County,5990.0
28124,Mount Pleasant,Cabarrus County,5946.0
28544,Midway Park,Onslow County,5917.0
28642,Jonesville,Yadkin County,5881.0
28366,Newton Grove,Sampson County,5868.0
28391,Stedman,Cumberland County,5842.0
27349,Snow Camp,Alamance County,5825.0
27013,Cleveland,Rowan County,5814.0
28789,Whittier,Jackson County,5779.0
28305,Fayetteville,Cumberland County,5751.0
28678,Stony Point,Alexander County,5676.0
28609,Catawba,Catawba County,5615.0
28394,Vass,Moore County,5547.0
27851,Lucama,Wilson County,5458.0
28129,Oakboro,Stanly County,5416.0
28163,Stanfield,Stanly County,5275.0
27379,Yanceyville,Caswell County,5246.0
28468,Sunset Beach,Brunswick County,5235.0
28018,Bostic,Rutherford County,5234.0
28433,Clarkton,Bladen County,5228.0
27011,Boonville,Yadkin County,5201.0
28543,Tarawa Terrace,Onslow County,5180.0
27544,Kittrell,Vance County,5131.0
28341,Faison,Duplin County,5047.0
27891,Whitakers,Nash County,5036.0
28640,Jefferson,Ashe County,4985.0
28901,Andrews,Cherokee County,4927.0
28636,Hiddenite,Alexander County,4901.0
28634,Harmony,Iredell County,4852.0
28356,Linden,Cumberland County,4819.0
27341,Seagrove,Randolph County,4810.0
28478,Willard,Pender County,4757.0
27921,Camden,Camden County,4750.0
27809,Battleboro,Edgecombe County,4747.0
28338,Ellerbe,Richmond County,4718.0
27864,Pinetops,Edgecombe County,4652.0
27581,Stem,Granville County,4612.0
28351,Laurel Hill,Scotland County,4598.0
27209,Biscoe,Montgomery County,4584.0
28555,Maysville,Jones County,4571.0
27830,Fremont,Wayne County,4547.0
27937,Gates,Gates County,4448.0
27235,Colfax,Guilford County,4443.0
28756,Mill Spring,Polk County,4388.0
27243,Efland,Orange County,4369.0
27871,Robersonville,Martin County,4293.0
27563,Norlina,Warren County,4270.0
28318,Autryville,Sampson County,4250.0
27805,Aulander,Bertie County,4243.0
28323,Bunnlevel,Harnett County,4207.0
27027,Mayodan,Rockingham County,4190.0
27976,South Mills,Camden County,4129.0
27233,Climax,Guilford County,4096.0
28420,Ash,Brunswick County,4075.0
28692,Vilas,Watauga County,4070.0
27810,Belhaven,Beaufort County,4045.0
27925,Columbia,Tyrrell County,4003.0
28585,Trenton,Jones County,3958.0
27541,Hurdle Mills,Person County,3915.0
27019,Germanton,Stokes County,3900.0
28643,Lansing,Ashe County,3842.0
27874,Scotland Neck,Halifax County,3837.0
28160,Spindale,Rutherford County,3825.0
27050,Tobaccoville,Forsyth County,3811.0
28676,State Road,Surry County,3788.0
28456,Riegelwood,Columbus County,3750.0
28344,Godwin,Cumberland County,3726.0
28594,Emerald Isle,Carteret County,3702.0
28726,East Flat Rock,Henderson County,3701.0
28741,Highlands,Macon County,3672.0
28670,Ronda,Wilkes County,3649.0
28098,Lowell,Gaston County,3632.0
27924,Colerain,Bertie County,3568.0
28453,Magnolia,Duplin County,3563.0
27248,Franklinville,Randolph County,3555.0
27311,Pelham,Caswell County,3521.0
27229,Candor,Montgomery County,3484.0
27839,Halifax,Halifax County,3479.0
28751,Maggie Valley,Haywood County,3473.0
27281,Jackson Springs,Moore County,3433.0
27880,Sims,Wilson County,3421.0
28441,Garland,Sampson County,3396.0
27831,Garysburg,Northampton County,3381.0
28533,Cherry Point,Craven County,3331.0
28605,Blowing Rock,Watauga County,3312.0
28790,Zirconia,Henderson County,3295.0
28654,Moravian Falls,Wilkes County,3268.0
28032,Cramerton,Gaston County,3245.0
28701,Alexander,Buncombe County,3240.0
27053,Westfield,Surry County,3233.0
27207,Bear Creek,Chatham County,3227.0
28512,Atlantic Beach,Carteret County,3211.0
27024,Lowgap,Surry County,3205.0
27283,Julian,Guilford County,3194.0
27845,Jackson,Northampton County,3192.0
28137,Richfield,Stanly County,3181.0
28742,Horse Shoe,Henderson County,3155.0
28033,Crouse,Lincoln County,3132.0
28729,Etowah,Henderson County,3114.0
27846,Jamesville,Martin County,3096.0
28508,Albertson,Duplin County,3093.0
27852,Macclesfield,Edgecombe County,3061.0
28635,Hays,Wilkes County,3055.0
28464,Teachey,Duplin County,3031.0
